i,amostragem,cor
1,AAS,VI
2,AAS,BR
3,AAS,LA
4,AAS,LA
5,AAS,BR
6,AAS,AZ
7,AAS,BR
8,AAS,RO
9,AAS,VE
10,AAS,AZ
11,AAS,VR
12,AAS,VI
13,AAS,RO
14,AAS,AM
15,AAS,VR
16,AAS,VE
17,AAS,VE
18,AAS,AM
19,AAS,VI
20,AAS,VI
21,AAS,AZ
22,AAS,VE
23,AAS,VR
24,AAS,BR
25,AAS,RO
26,AAS,VE
27,AAS,VE
28,AAS,AM
29,AAS,VI
30,AAS,RO
31,AAS,AZ
32,AAS,VE
33,AAS,VR
34,AAS,BR
35,AAS,RO
36,AAS,VI
37,AAS,BR
38,AAS,VE
39,AAS,VI
40,AAS,RO
41,AAS,AZ
42,AAS,RO
43,AAS,VE
44,AAS,RO
45,AAS,BR
46,AAS,BR
47,AAS,BR
48,AAS,AM
49,AAS,VR
50,AAS,VR
1,sistemática,RO
2,sistemática,BR
3,sistemática,AM
4,sistemática,AM
5,sistemática,VE
6,sistemática,BR
7,sistemática,LA
8,sistemática,RO
9,sistemática,AZ
10,sistemática,VE
11,sistemática,VE
12,sistemática,LA
13,sistemática,AM
14,sistemática,LA
15,sistemática,VE
16,sistemática,LA
17,sistemática,BR
18,sistemática,AZ
19,sistemática,RO
20,sistemática,VI
21,sistemática,VE
22,sistemática,RO
23,sistemática,VI
24,sistemática,AZ
25,sistemática,VI
26,sistemática,VR
27,sistemática,VI
28,sistemática,AZ
29,sistemática,VR
30,sistemática,LA
31,sistemática,VE
32,sistemática,LA
33,sistemática,AZ
34,sistemática,LA
35,sistemática,LA
36,sistemática,VR
37,sistemática,VE
38,sistemática,VR
39,sistemática,AM
40,sistemática,RO
41,sistemática,VI
42,sistemática,AZ
43,sistemática,VR
44,sistemática,LA
45,sistemática,AZ
46,sistemática,VI
47,sistemática,LA
48,sistemática,VR
49,sistemática,VI
50,sistemática,AM
1,conveniência,VR
2,conveniência,VR
3,conveniência,VE
4,conveniência,BR
5,conveniência,VE
6,conveniência,RO
7,conveniência,LA
8,conveniência,RO
9,conveniência,AZ
10,conveniência,RO
11,conveniência,VE
12,conveniência,AM
13,conveniência,VR
14,conveniência,AZ
15,conveniência,LA
16,conveniência,VI
17,conveniência,BR
18,conveniência,BR
19,conveniência,AM
20,conveniência,VE
21,conveniência,AM
22,conveniência,LA
23,conveniência,VE
24,conveniência,RO
25,conveniência,VE
26,conveniência,BR
27,conveniência,LA
28,conveniência,LA
29,conveniência,VI
30,conveniência,AM
31,conveniência,AM
32,conveniência,LA
33,conveniência,LA
34,conveniência,VR
35,conveniência,VR
36,conveniência,AM
37,conveniência,VR
38,conveniência,LA
39,conveniência,VR
40,conveniência,VR
41,conveniência,AM
42,conveniência,VR
43,conveniência,RO
44,conveniência,VR
45,conveniência,AM
46,conveniência,VE
47,conveniência,AM
48,conveniência,AZ
49,conveniência,VR
50,conveniência,RO
