matricula,turma,nota
aluno_1,LQ3N,8
aluno_2,LQ3N,8
aluno_3,LQ3N,8
aluno_4,LQ3N,8
aluno_5,TE1V,NA
aluno_6,TE1V,NA
aluno_7,TE1V,NA
aluno_8,TE1V,NA
aluno_9,TE1V,NA
aluno_10,TE1V,NA
aluno_11,TE1V,NA
aluno_12,TI2V,53.6
aluno_13,TI2V,59.6
aluno_14,TI2V,74.4
aluno_15,TI2V,53.8
aluno_16,TI2V,55
aluno_17,TI2V,31.2
aluno_18,TI2V,64.2
aluno_19,TI2V,38.6
aluno_20,TI2V,49
aluno_21,TI2V,34
aluno_22,TI2V,43.2
aluno_23,TI2V,56.6
aluno_24,TI2V,37.6
aluno_25,TI2V,91.2
aluno_26,TI2V,43.4
aluno_27,TI2V,61
aluno_28,TI3V,90.6
aluno_29,TI3V,84.6
aluno_30,TI3V,72.8
aluno_31,TI3V,93.8
aluno_32,TI3V,51.2
aluno_33,TI3V,60.6
aluno_34,TI3V,90.6
aluno_35,TI3V,77.2
aluno_36,TI3V,40.8
aluno_37,TI3V,77.2
aluno_38,TI3V,90.6
aluno_39,TI3V,71
aluno_40,TI3V,84.8
aluno_41,TI3V,60.6
aluno_42,TI3V,51.6
aluno_43,TI3V,80
aluno_44,TI3V,81.8
aluno_45,TI3V,48.4
aluno_46,TI3V,44
aluno_47,TI3V,27.2
